Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
3431,LaLiga,16-17,1,Mon,8/22/2016,22:00 (16:00),Valencia,2-4,Las Palmas,37144.0,Estadio de Mestalla,inaki Bikandi,https://fbref.com/en/matches/ce24f35b/Valencia-Las-Palmas-August-22-2016-La-Liga,,Valencia Estadio de Mestalla,LaLiga 16-17,55000,0,2,4,Loss,0.6753454545454546,50%-74%,58%,407,470,8,17,15,25,28,2.0,0.0,42%,287,360,4,6,18,20,16,2.0,0.0
3432,LaLiga,16-17,1,Mon,8/22/2016,20:00 (14:00),Celta Vigo,0-1,Leganes,16578.0,Estadio de Balaidos,Jose Luis Munuera,https://fbref.com/en/matches/30c4c746/Celta-Vigo-Leganes-August-22-2016-La-Liga,,Celta Vigo Estadio de Balaidos,LaLiga 16-17,29000,0,0,1,Loss,0.5716551724137932,50%-74%,64%,485,593,2,10,5,27,33,4.0,0.0,36%,229,328,6,15,13,29,28,1.0,1.0
3433,LaLiga,16-17,1,Sun,8/21/2016,22:15 (16:15),Atletico Madrid,1-1,Alaves,36455.0,Estadio Vicente Calderon,Ignacio Iglesias,https://fbref.com/en/matches/fdbbfb30/Atletico-Madrid-Alaves-August-21-2016-La-Liga,,Atletico Madrid Estadio Vicente Calderon,LaLiga 16-17,54907,0,1,1,Tie,0.6639408454295445,50%-74%,62%,412,490,6,27,7,18,15,0.0,0.0,38%,206,311,1,2,15,25,14,4.0,0.0
3434,LaLiga,16-17,1,Sun,8/21/2016,20:15 (14:15),Real Sociedad,0-3,Real Madrid,27653.0,Estadio Municipal de Anoeta,Juan Martinez,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga,,Real Sociedad Estadio Municipal de Anoeta,LaLiga 16-17,39500,0,0,3,Loss,0.7000759493670886,50%-74%,45%,328,422,0,8,22,24,20,2.0,0.0,55%,441,535,8,18,11,27,18,3.0,0.0
3435,LaLiga,16-17,1,Sun,8/21/2016,18:15 (12:15),Sporting Gijon,2-1,Athletic Club,24833.0,Estadio Municipal El Molinon,Carlos Clos,https://fbref.com/en/matches/13cb4770/Sporting-Gijon-Athletic-Club-August-21-2016-La-Liga,,Sporting Gijon Estadio Municipal El Molinon,LaLiga 16-17,29029,0,2,1,Win,0.8554548899376485,75%-99%,38%,170,297,4,12,18,21,22,3.0,0.0,62%,340,475,4,13,15,19,13,3.0,0.0
3436,LaLiga,16-17,1,Sat,8/20/2016,22:15 (16:15),Sevilla,6-4,Espanyol,29420.0,Estadio Ramon Sanchez Pizjuan,Jose Gonzalez,https://fbref.com/en/matches/e13ea401/Sevilla-Espanyol-August-20-2016-La-Liga,,Sevilla Estadio Ramon Sanchez Pizjuan,LaLiga 16-17,43883,0,6,4,Win,0.6704190688877242,50%-74%,74%,493,589,11,17,8,15,18,2.0,0.0,26%,138,202,7,10,15,22,28,2.0,0.0
3437,LaLiga,16-17,1,Sat,8/20/2016,20:15 (14:15),Granada,1-1,Villarreal,15149.0,Estadio Nuevo Los Carmenes,Javier Estrada,https://fbref.com/en/matches/c18d119a/Granada-Villarreal-August-20-2016-La-Liga,,Granada Estadio Nuevo Los Carmenes,LaLiga 16-17,19336,0,1,1,Tie,0.7834609019445594,75%-99%,68%,438,522,1,7,17,14,23,2.0,0.0,32%,163,252,3,12,11,21,17,3.0,0.0
3438,LaLiga,16-17,1,Sat,8/20/2016,18:15 (12:15),Barcelona,6-2,Betis,65731.0,Camp Nou,Alberto Undiano,https://fbref.com/en/matches/4dbbaae4/Barcelona-Real-Betis-August-20-2016-La-Liga,,Barcelona Camp Nou,LaLiga 16-17,99354,0,6,2,Win,0.6615838315518248,50%-74%,73%,608,684,12,30,17,9,15,1.0,0.0,27%,176,249,2,6,13,7,16,3.0,0.0
3439,LaLiga,16-17,1,Fri,8/19/2016,22:00 (16:00),La Coruna,2-1,Eibar,21441.0,Estadio Municipal de Riazor,Mario Melero,https://fbref.com/en/matches/9ddabdb7/Deportivo-La-Coruna-Eibar-August-19-2016-La-Liga,,La Coruna Estadio Municipal de Riazor,LaLiga 16-17,32912,0,2,1,Win,0.6514645114244044,50%-74%,50%,287,377,6,11,14,9,16,3.0,0.0,50%,276,372,6,13,18,22,24,3.0,0.0
3440,LaLiga,16-17,1,Fri,8/19/2016,20:45 (14:45),Malaga,1-1,Osasuna,22347.0,Estadio La Rosaleda,Santiago Jaime,https://fbref.com/en/matches/57470558/Malaga-Osasuna-August-19-2016-La-Liga,,Malaga Estadio La Rosaleda,LaLiga 16-17,30044,0,1,1,Tie,0.7438090800159766,50%-74%,56%,286,402,4,13,11,20,27,2.0,0.0,45%,219,328,3,8,23,33,25,3.0,0.0
