Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
5331,Ligue1,16-17,1,Fri,8/12/2016,20:00 (14:00),Bastia,0-1,Paris S-G,13122.0,Stade Armand Cesari,Franck Schneider,https://fbref.com/en/matches/845fc4ab/Bastia-Paris-Saint-Germain-August-12-2016-Ligue-1,,Bastia Stade Armand Cesari,Ligue1 16-17,16480,0,0,1,Loss,0.7962378640776699,75%-99%,27%,134,215,1,10,15,24,25,3,0,74%,529,600,6,9,16,14,15,3,0
5332,Ligue1,16-17,1,Fri,8/12/2016,20:30 (14:30),Monaco,2-2,Guingamp,8019.0,Stade Louis II.,Jerome Miguelgorry,https://fbref.com/en/matches/2ce3d2c2/Monaco-Guingamp-August-12-2016-Ligue-1,,Monaco Stade Louis II.,Ligue1 16-17,18523,0,2,2,Tie,0.4329212330615991,25%-49%,71%,446,513,4,18,14,13,22,3,0,29%,124,223,5,9,15,22,16,3,0
5333,Ligue1,16-17,1,Sat,8/13/2016,17:00 (11:00),Bordeaux,3-2,Saint-Etienne,34212.0,Stade Matmut-Atlantique,Lionel Jaffredo,https://fbref.com/en/matches/774ffe88/Bordeaux-Saint-Etienne-August-13-2016-Ligue-1,,Bordeaux Stade Matmut-Atlantique,Ligue1 16-17,42115,0,3,2,Win,0.8123471447227829,75%-99%,46%,239,334,6,11,9,22,14,1,0,54%,290,388,5,14,20,20,14,2,0
5334,Ligue1,16-17,1,Sat,8/13/2016,20:00 (14:00),Montpellier,1-0,Angers,10389.0,Stade de la Mosson,Bartolomeu Varela,https://fbref.com/en/matches/027cfb6d/Montpellier-Angers-August-13-2016-Ligue-1,,Montpellier Stade de la Mosson,Ligue1 16-17,32900,0,1,0,Win,0.31577507598784194,25%-49%,53%,351,450,3,14,9,21,20,1,0,47%,294,393,2,13,12,21,10,2,0
5335,Ligue1,16-17,1,Sat,8/13/2016,20:00 (14:00),Metz,3-2,Lille,17174.0,Stade Saint-Symphorien,Mikael Lesage,https://fbref.com/en/matches/7e46ea1a/Metz-Lille-August-13-2016-Ligue-1,,Metz Stade Saint-Symphorien,Ligue1 16-17,25636,0,3,2,Win,0.6699173037915431,50%-74%,43%,275,355,3,7,13,25,11,2,0,58%,398,472,4,17,9,13,9,2,0
5336,Ligue1,16-17,1,Sat,8/13/2016,20:00 (14:00),Dijon,0-1,Nantes,9236.0,Stade Gaston Gerard,Karim Abed,https://fbref.com/en/matches/c795779b/Dijon-Nantes-August-13-2016-Ligue-1,,Dijon Stade Gaston Gerard,Ligue1 16-17,15995,0,0,1,Loss,0.577430447014692,50%-74%,52%,414,502,2,6,6,23,19,0,0,48%,382,471,3,10,11,21,18,2,0
5337,Ligue1,16-17,1,Sat,8/13/2016,20:00 (14:00),Caen,3-2,Lorient,16920.0,Stade Michel d'Ornano,Johan Hamel,https://fbref.com/en/matches/f0b9903e/Caen-Lorient-August-13-2016-Ligue-1,,Caen Stade Michel d'Ornano,Ligue1 16-17,20453,0,3,2,Win,0.8272625042781009,75%-99%,59%,394,474,7,16,13,18,9,1,0,41%,267,356,2,8,9,12,25,2,1
5338,Ligue1,16-17,1,Sun,8/14/2016,15:00 (09:00),Nancy,0-3,Lyon,18885.0,Stade Marcel Picot,Amaury Delerue,https://fbref.com/en/matches/cac5e1b3/Nancy-Lyon-August-14-2016-Ligue-1,,Nancy Stade Marcel Picot,Ligue1 16-17,20087,0,0,3,Loss,0.9401603026833276,75%-99%,42%,247,320,1,11,18,26,14,4,0,58%,360,451,7,9,14,23,13,2,0
5339,Ligue1,16-17,1,Sun,8/14/2016,17:00 (11:00),Nice,1-0,Rennes,19075.0,Stade de Nice,Antony Gautier,https://fbref.com/en/matches/bb93aa8a/Nice-Rennes-August-14-2016-Ligue-1,,Nice Stade de Nice,Ligue1 16-17,35624,0,1,0,Win,0.5354536267684707,50%-74%,46%,377,443,2,8,12,25,15,0,0,54%,436,521,4,19,9,28,17,1,0
5340,Ligue1,16-17,1,Sun,8/14/2016,20:45 (14:45),Marseille,0-0,Toulouse,37364.0,Orange Velodrome,Benoit Millot,https://fbref.com/en/matches/aa5cb4c3/Marseille-Toulouse-August-14-2016-Ligue-1,,Marseille Orange Velodrome,Ligue1 16-17,67394,0,0,0,Tie,0.5544113719322195,50%-74%,58%,369,457,2,10,14,21,16,3,0,42%,229,339,2,6,13,22,18,1,0
