Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
7231,SerieA,16-17,1,Sat,2016-08-20,18:00 (12:00),Roma,4-0,Udinese,30940.0,Stadio Olimpico,Marco Di Bello,https://fbref.com/en/matches/9506893e/Roma-Udinese-August-20-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Roma Stadio Olimpico,SerieA 16-17,70634,0,4,0,Win,0.4380326754820625,25%-49%,72%,519,578,9,25,8,8,14,0,0,28%,151,204,1,11,14,9,16,2,0
7232,SerieA,16-17,1,Sat,2016-08-20,20:45 (14:45),Juventus,2-1,Fiorentina,40184.0,Allianz Stadium,Davide Massa,https://fbref.com/en/matches/35fb08e0/Juventus-Fiorentina-August-20-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Juventus Allianz Stadium,SerieA 16-17,41507,0,2,1,Win,0.9681258582889634,75%-99%,54%,495,560,4,19,11,20,10,1,0,46%,422,499,1,4,16,9,6,3,0
7233,SerieA,16-17,1,Sun,2016-08-21,18:00 (12:00),Milan,3-2,Torino,32254.0,Stadio Giuseppe Meazza,Antonio Damato,https://fbref.com/en/matches/4c8ba0bf/Milan-Torino-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Milan Stadio Giuseppe Meazza,SerieA 16-17,75923,0,3,2,Win,0.4248251517985327,25%-49%,51%,276,348,5,11,13,21,3,1,1,49%,260,318,4,21,20,15,8,3,0
7234,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Atalanta,3-4,Lazio,14710.0,Stadio Atleti Azzurri d'Italia,Luca Banti,https://fbref.com/en/matches/450cd04c/Atalanta-Lazio-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Atalanta Stadio Atleti Azzurri d'Italia,SerieA 16-17,25000,0,3,4,Loss,0.5884,50%-74%,70%,525,605,6,18,5,14,13,2,0,30%,184,266,6,11,16,19,15,2,0
7235,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Palermo,0-1,Sassuolo,12935.0,Stadio Renzo Barbera,Luca Pairetto,https://fbref.com/en/matches/4e14d321/Palermo-Sassuolo-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Palermo Stadio Renzo Barbera,SerieA 16-17,36349,0,0,1,Loss,0.3558557319321027,25%-49%,41%,290,381,2,7,19,30,17,2,1,59%,479,572,8,22,15,18,15,2,0
7236,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Genoa,3-1,Cagliari,20443.0,Stadio Comunale Luigi Ferraris,Daniele Orsato,https://fbref.com/en/matches/8917654e/Genoa-Cagliari-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Genoa Stadio Comunale Luigi Ferraris,SerieA 16-17,36600,0,3,1,Win,0.558551912568306,50%-74%,71%,491,554,6,22,13,21,18,4,0,29%,154,232,3,4,10,28,17,3,0
7237,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Pescara,2-2,Napoli,16758.0,Stadio Adriatico-Giovanni Cornacchia,Piero Giacomelli,https://fbref.com/en/matches/9f2b418a/Pescara-Napoli-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Pescara Stadio Adriatico-Giovanni Cornacchia,SerieA 16-17,20476,0,2,2,Tie,0.8184215667122485,75%-99%,42%,391,470,3,10,10,12,14,3,0,58%,555,619,4,22,12,18,11,2,0
7238,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Bologna,1-0,Crotone,18396.0,Stadio Renato Dall'Ara,Claudio Gavillucci,https://fbref.com/en/matches/e92b9160/Bologna-Crotone-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Bologna Stadio Renato Dall'Ara,SerieA 16-17,36462,0,1,0,Win,0.5045252591739345,50%-74%,47%,354,437,6,20,7,15,23,1,0,53%,394,489,0,5,17,16,11,1,0
7239,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Chievo,2-0,Inter,24000.0,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,https://fbref.com/en/matches/f25666d8/Chievo-Internazionale-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Chievo Stadio Marc'Antonio Bentegodi,SerieA 16-17,38402,0,2,0,Win,0.6249674496119993,50%-74%,34%,230,310,4,12,15,17,18,2,0,66%,508,589,3,13,13,19,20,4,0
7240,SerieA,16-17,1,Sun,2016-08-21,20:45 (14:45),Empoli,0-1,Sampdoria,8000.0,Stadio Carlo Castellani,Maurizio Mariani,https://fbref.com/en/matches/f526ddb8/Empoli-Sampdoria-August-21-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Empoli Stadio Carlo Castellani,SerieA 16-17,16800,0,0,1,Loss,0.4761904761904762,25%-49%,53%,380,489,3,8,17,15,8,3,1,47%,326,434,6,16,32,26,12,4,0
7241,SerieA,16-17,2,Sat,2016-08-27,18:00 (12:00),Lazio,0-1,Juventus,35000.0,Stadio Olimpico,Marco Guida,https://fbref.com/en/matches/0dab68ce/Lazio-Juventus-August-27-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Lazio Stadio Olimpico,SerieA 16-17,70634,0,0,1,Loss,0.4955120763371748,25%-49%,53%,440,551,1,6,16,25,15,1,0,47%,408,485,5,13,5,20,25,2,0
7242,SerieA,16-17,2,Sat,2016-08-27,20:45 (14:45),Napoli,4-2,Milan,27231.0,Stadio San Paolo,Paolo Valeri,https://fbref.com/en/matches/bc929d65/Napoli-Milan-August-27-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Napoli Stadio San Paolo,SerieA 16-17,54726,0,4,2,Win,0.497587983773709,25%-49%,58%,486,567,8,17,13,7,12,5,0,42%,325,406,3,12,15,8,12,4,1
7243,SerieA,16-17,2,Sun,2016-08-28,18:00 (12:00),Inter,1-1,Palermo,40527.0,Stadio Giuseppe Meazza,Carmine Russo,https://fbref.com/en/matches/fb747d68/Internazionale-Palermo-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Inter Stadio Giuseppe Meazza,SerieA 16-17,75923,0,1,1,Tie,0.5337908143777248,50%-74%,68%,459,542,5,22,16,24,12,1,0,32%,179,260,3,7,24,20,26,5,0
7244,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Udinese,2-0,Empoli,13239.0,Dacia Arena,Fabio Maresca,https://fbref.com/en/matches/051487ca/Udinese-Empoli-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Udinese Dacia Arena,SerieA 16-17,25144,0,2,0,Win,0.5265272033089405,50%-74%,39%,222,309,3,11,15,23,12,3,0,61%,416,502,4,13,19,20,9,3,1
7245,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Crotone,1-3,Genoa,821.0,Stadio Adriatico-Giovanni Cornacchia,Nicola Rizzoli,https://fbref.com/en/matches/2ab481df/Crotone-Genoa-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Crotone Stadio Adriatico-Giovanni Cornacchia,SerieA 16-17,20476,0,1,3,Loss,0.0400957218206681,.01%-24%,46%,265,383,3,11,16,15,19,2,0,54%,351,452,8,18,17,13,17,2,0
7246,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Sampdoria,2-1,Atalanta,19045.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,https://fbref.com/en/matches/421f3701/Sampdoria-Atalanta-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Sampdoria Stadio Comunale Luigi Ferraris,SerieA 16-17,36599,0,2,1,Win,0.5203694090002459,50%-74%,57%,482,557,4,8,13,20,13,1,0,43%,341,404,1,7,16,14,32,5,1
7248,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Torino,5-1,Bologna,17077.0,Stadio Olimpico di Torino,Gianluca Rocchi,https://fbref.com/en/matches/f7c29ec9/Torino-Bologna-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Torino Stadio Olimpico di Torino,SerieA 16-17,27958,0,5,1,Win,0.6108090707489806,50%-74%,48%,323,395,11,20,14,21,16,1,0,52%,357,423,2,10,12,20,6,2,0
7249,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Fiorentina,1-0,Chievo,32304.0,Stadio Artemio Franchi,Michael Fabbri,https://fbref.com/en/matches/f8109fde/Fiorentina-Chievo-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Fiorentina Stadio Artemio Franchi,SerieA 16-17,45000,0,1,0,Win,0.7178666666666667,50%-74%,59%,491,577,4,13,8,9,12,0,0,41%,303,387,2,9,16,14,24,2,0
7250,SerieA,16-17,2,Sun,2016-08-28,20:45 (14:45),Cagliari,2-2,Roma,15406.0,Stadio Sant'Elia,Paolo Mazzoleni,https://fbref.com/en/matches/f8ea2f47/Cagliari-Roma-August-28-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Cagliari Stadio Sant'Elia,SerieA 16-17,16000,0,2,2,Tie,0.962875,75%-99%,49%,379,452,7,19,21,11,16,3,0,51%,399,495,7,21,9,12,7,1,0
7251,SerieA,16-17,3,Sat,2016-09-10,18:00 (12:00),Juventus,3-1,Sassuolo,39040.0,Allianz Stadium,Marco Di Bello,https://fbref.com/en/matches/b2a3da4a/Juventus-Sassuolo-September-10-2016-Serie-A?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Juventus Allianz Stadium,SerieA 16-17,41507,0,3,1,Win,0.9405642421760184,75%-99%,69%,556,640,10,23,10,13,14,1,0,31%,194,293,3,9,12,12,25,2,0
